Event Source;Event Date;Session ID;Event Type;Event Zone;CCR Type;Volume;Result Code;Service Result Code;Latency
321558622176056;2019-06-17T11:45:53.712+03:00;"bk3l65sl6avisk70dt50;1560761153001";SMS;Belgium;E;1;2001;2001;0.2858935
321558622176074;2019-06-17T11:45:54.212+03:00;"bk3l65sl6avisk70dt50;1560761153002";SMS;Belgium;E;1;2001;2001;0.3434102
321558622176080;2019-06-17T11:45:54.712+03:00;"bk3l65sl6avisk70dt50;1560761153003";SMS;Belgium;E;1;2001;2001;0.2522273
321558622176081;2019-06-17T11:45:55.214+03:00;"bk3l65sl6avisk70dt50;1560761153005";SMS;Belgium;E;1;2001;2001;0.2959284
321558622176049;2019-06-17T11:45:55.214+03:00;"bk3l65sl6avisk70dt50;1560761153004";SMS;Belgium;E;1;2001;2001;0.4850073
321558622176026;2019-06-17T11:45:55.712+03:00;"bk3l65sl6avisk70dt50;1560761153006";SMS;Belgium;E;1;2001;2001;0.4098442
321558622176003;2019-06-17T11:45:56.215+03:00;"bk3l65sl6avisk70dt50;1560761153007";SMS;Belgium;E;1;2001;2001;0.3178477
321558622176020;2019-06-17T11:45:57.721+03:00;"bk3l65sl6avisk70dt50;1560761153008";SMS;Belgium;E;1;2001;2001;0.2500215
321558622176087;2019-06-17T11:45:58.215+03:00;"bk3l65sl6avisk70dt50;1560761153009";DATA;Belgium;I;0;5012;5012;0.6848513
321558622176002;2019-06-17T11:45:58.215+03:00;"bk3l65sl6avisk70dt50;1560761153010";DATA;Belgium;I;0;5012;5012;0.86622
321558622176084;2019-06-17T11:45:59.714+03:00;"bk3l65sl6avisk70dt50;1560761153012";SMS;Belgium;E;1;2001;2001;0.4220183
321558622176052;2019-06-17T11:45:59.714+03:00;"bk3l65sl6avisk70dt50;1560761153011";SMS;Belgium;E;1;2001;2001;0.604638
321558622176062;2019-06-17T11:46:00.712+03:00;"bk3l65sl6avisk70dt50;1560761153013";DATA;Belgium;I;0;5012;5012;1.1015038
321558622176060;2019-06-17T11:46:01.718+03:00;"bk3l65sl6avisk70dt50;1560761153014";DATA;Belgium;I;0;5012;5012;0.8138966
321558622176004;2019-06-17T11:46:02.712+03:00;"bk3l65sl6avisk70dt50;1560761153015";SMS;Belgium;E;1;2001;2001;0.3864576
321558622176009;2019-06-17T11:46:03.713+03:00;"bk3l65sl6avisk70dt50;1560761153016";SMS;Belgium;E;1;2001;2001;0.2704931
321558622176073;2019-06-17T11:46:14.211+03:00;"bk3l65sl6avisk70dt50;1560761153017";DATA;Belgium;I;0;5012;5012;0.6650439
321558622176029;2019-06-17T11:46:16.211+03:00;"bk3l65sl6avisk70dt50;1560761153018";DATA;Belgium;I;0;5012;5012;0.4297243
321558622176072;2019-06-17T11:46:17.212+03:00;"bk3l65sl6avisk70dt50;1560761153019";DATA;Belgium;I;0;5012;5012;0.4516189
321558622176011;2019-06-17T11:46:20.711+03:00;"bk3l65sl6avisk70dt50;1560761153020";DATA;Belgium;I;0;5012;5012;0.9064545
321558622176052;2019-06-17T11:46:25.225+03:00;"bk3l65sl6avisk70dt50;1560761153021";SMS;Belgium;E;1;2001;2001;0.2353664
321558622176019;2019-06-17T11:46:27.212+03:00;"bk3l65sl6avisk70dt50;1560761153022";SMS;Belgium;E;1;2001;2001;0.3229324
321558622176084;2019-06-17T11:46:28.213+03:00;"bk3l65sl6avisk70dt50;1560761153023";SMS;Belgium;E;1;2001;2001;0.252065
321558622176028;2019-06-17T11:46:29.718+03:00;"bk3l65sl6avisk70dt50;1560761153024";SMS;Belgium;E;1;2001;2001;0.2477177
321558622176023;2019-06-17T11:46:42.212+03:00;"bk3l65sl6avisk70dt50;1560761153025";DATA;Belgium;I;0;5012;5012;0.5627632
321558622176055;2019-06-17T11:46:42.212+03:00;"bk3l65sl6avisk70dt50;1560761153026";DATA;Belgium;I;0;5012;5012;0.7571797
321558622176056;2019-06-17T11:46:45.214+03:00;"bk3l65sl6avisk70dt50;1560761153027";DATA;Belgium;I;0;5012;5012;0.4127845
321558622176008;2019-06-17T11:46:46.712+03:00;"bk3l65sl6avisk70dt50;1560761153028";DATA;Belgium;I;0;5012;5012;0.4990568
321558622176057;2019-06-17T11:47:00.712+03:00;"bk3l65sl6avisk70dt50;1560761153030";DATA;Belgium;I;0;5012;5012;0.7085537
321558622176045;2019-06-17T11:47:00.712+03:00;"bk3l65sl6avisk70dt50;1560761153029";DATA;Belgium;I;0;5012;5012;0.890898
321558622176001;2019-06-17T11:47:01.21+03:00;"bk3l65sl6avisk70dt50;1560761153031";DATA;Belgium;I;0;5012;5012;0.582627
